Minutes Index, Status Register, Accumulated Charge, Voltage, Current
634, 0, 39360, 7.348, -0.685
635, 0, 39340, 7.345, -0.692
636, 0, 39320, 7.348, -0.661
637, 0, 39300, 7.344, -0.681
638, 0, 39280, 7.341, -0.682
639, 0, 39260, 7.339, -0.682
640, 0, 39240, 7.342, -0.670
641, 0, 39220, 7.339, -0.673
642, 0, 39200, 7.336, -0.681
643, 0, 39180, 7.333, -0.686
644, 0, 39160, 7.336, -0.668
645, 0, 39140, 7.333, -0.674
646, 0, 39120, 7.328, -0.689
647, 0, 39100, 7.328, -0.684
648, 0, 39080, 7.330, -0.661
649, 0, 39060, 7.326, -0.677
650, 0, 39039, 7.323, -0.686
651, 0, 39019, 7.321, -0.678
652, 0, 38999, 7.324, -0.664
653, 0, 38979, 7.320, -0.674
654, 0, 38959, 7.315, -0.697
655, 0, 38939, 7.316, -0.673
656, 0, 38919, 7.317, -0.669
657, 0, 38899, 7.315, -0.668
658, 0, 38879, 7.308, -0.693
659, 0, 38859, 7.311, -0.670
660, 0, 38839, 7.308, -0.671
661, 0, 38819, 7.308, -0.665
662, 0, 38798, 7.298, -0.706
663, 0, 38778, 7.302, -0.675
664, 0, 38758, 7.300, -0.676
665, 0, 38738, 7.298, -0.673
666, 0, 38718, 7.292, -0.701
667, 0, 38698, 7.297, -0.661
668, 0, 38678, 7.292, -0.677
669, 0, 38657, 7.291, -0.675
670, 0, 38637, 7.284, -0.704
671, 0, 38617, 7.288, -0.669
672, 0, 38597, 7.283, -0.686
673, 0, 38577, 7.284, -0.677
674, 0, 38556, 7.274, -0.712
675, 0, 38536, 7.279, -0.669
676, 0, 38516, 7.273, -0.689
677, 0, 38496, 7.274, -0.682
678, 0, 38476, 7.266, -0.708
679, 0, 38455, 7.271, -0.677
680, 0, 38435, 7.266, -0.686
681, 0, 38415, 7.262, -0.703
682, 0, 38395, 7.258, -0.703
683, 0, 38374, 7.259, -0.685
684, 0, 38354, 7.257, -0.684
685, 0, 38334, 7.253, -0.691
686, 0, 38313, 7.249, -0.700
687, 0, 38293, 7.251, -0.677
688, 0, 38273, 7.244, -0.687
689, 0, 38253, 7.243, -0.689
690, 0, 38232, 7.237, -0.704
691, 0, 38212, 7.240, -0.681
692, 0, 38192, 7.235, -0.693
693, 0, 38171, 7.230, -0.703
694, 0, 38151, 7.226, -0.708
695, 0, 38130, 7.227, -0.690
696, 0, 38110, 7.224, -0.688
697, 0, 38090, 7.218, -0.703
698, 0, 38069, 7.214, -0.706
699, 0, 38049, 7.212, -0.697
700, 0, 38028, 7.209, -0.690
701, 0, 38008, 7.201, -0.705
702, 0, 37987, 7.193, -0.702
703, 0, 37967, 7.187, -0.699
704, 0, 37946, 7.175, -0.716
705, 0, 37926, 7.150, -0.725
706, 0, 37905, 7.113, -0.718
707, 0, 37883, 7.025, -0.714
